"","term","Total"
"1519","from your",536
"1520","home from",536
"1521","i use",536
"1522","just because",536
"1523","on and",536
"1524","only a",536
"1525","know why",535
"1526","lol im",535
"1527","on fb",535
"1528","pretty much",535
"1529","am going",534
"1530","but that",534
"1531","do anything",534
"1532","it feels",534
"1533","making me",534
"1534","sorry to",534
"1535","the radio",534
"1536","deal with",533
"1537","it now",533
"1538","my parents",533
"1539","so what",533
"1540","the moment",533
"1541","always be",532
"1542","taking a",532
"1543","this saturday",532
"1544","is out",530
"1545","out i",530
"1546","a pretty",529
"1547","home and",529
"1548","me with",529
"1549","thats awesome",529
"1550","to pay",529
"1551","to seeing",529
"1552","hes a",528
"1553","into my",528
"1554","is such",528
"1555","justin bieber",528
"1556","more to",528
"1557","see this",528
"1558","cant even",527
"1559","find it",527
"1560","is back",527
"1561","just found",527
"1562","there will",526
"1563","find the",525
"1564","is only",525
"1565","ok i",525
"1566","friday night",524
"1567","go with",524
"1568","really need",524
"1569","them in",524
"1570","and how",523
"1571","care about",523
"1572","follow and",523
"1573","is why",522
"1574","though i",522
"1575","to figure",522
"1576","and well",521
"1577","can have",521
"1578","it comes",521
"1579","time you",521
"1580","didnt have",520
"1581","more followers",520
"1582","to them",520
"1583","as it",519
"1584","the library",519
"1585","to not",519
"1586","and thats",518
"1587","for another",518
"1588","game of",518
"1589","is up",518
"1590","said i",518
"1591","the entire",518
"1592","their own",518
"1593","and some",517
"1594","he can",517
"1595","nothing like",517
"1596","but ill",516
"1597","i be",516
"1598","it does",516
"1599","say hi",516
"1600","so sad",516
"1601","doing the",515
"1602","to support",515
"1603","hear that",514
"1604","soon as",514
"1605","sounds good",514
"1606","here for",513
"1607","it really",513
"1608","said it",513
"1609","comes to",512
"1610","know where",512
"1611","so tired",512
"1612","to some",512
"1613","day off",511
"1614","someone else",511
"1615","gotta love",510
"1616","im about",510
"1617","the link",510
"1618","did a",509
"1619","episode of",509
"1620","if only",509
"1621","rt you",509
"1622","days of",508
"1623","tomorrow is",508
"1624","from pm",507
"1625","hope your",507
"1626","miss the",507
"1627","out here",507
"1628","really like",506
"1629","the air",506
"1630","everything is",505
"1631","in order",505
"1632","and let",504
"1633","be nice",504
"1634","focus on",503
"1635","is doing",503
"1636","lol rt",503
"1637","it you",502
"1638","just need",502
"1639","that can",502
"1640","because they",501
"1641","go follow",501
"1642","be good",500
"1643","hope the",500
"1644","more info",500
"1645","decided to",499
"1646","gotta get",499
"1647","have your",499
"1648","never be",499
"1649","reminds me",499
"1650","the lord",499
"1651","things to",499
"1652","cant sleep",498
"1653","do to",498
"1654","it lol",498
"1655","me how",498
"1656","or is",498
"1657","set up",498
"1658","thing to",498
"1659","this guy",498
"1660","by and",497
"1661","the song",497
"1662","to u",497
"1663","and are",496
"1664","based on",496
"1665","been to",496
"1666","its hard",496
"1667","over to",496
"1668","the ones",496
"1669","to wear",496
"1670","just be",495
"1671","over and",495
"1672","one direction",494
"1673","the boys",494
"1674","the shit",494
"1675","things that",494
"1676","to finish",494
"1677","cuz i",493
"1678","down and",493
"1679","for real",493
"1680","im done",493
"1681","more days",493
"1682","some new",493
"1683","game is",492
"1684","hate it",492
"1685","one who",492
"1686","that awkward",492
"1687","are they",491
"1688","but no",491
"1689","following you",491
"1690","for one",491
"1691","it as",491
"1692","my room",491
"1693","the point",491
"1694","free to",490
"1695","my ass",490
"1696","on monday",490
"1697","across the",489
"1698","are looking",489
"1699","good job",489
"1700","just watched",489
"1701","let it",489
"1702","night i",489
"1703","see me",489
"1704","see u",489
"1705","thats all",489
"1706","against the",488
"1707","and do",488
"1708","go get",488
"1709","me what",488
"1710","put on",488
"1711","middle of",487
"1712","so long",487
"1713","the red",487
"1714","too late",487
"1715","feel so",486
"1716","in time",486
"1717","my baby",486
"1718","my god",486
"1719","time at",486
"1720","a problem",485
"1721","all time",485
"1722","am in",485
"1723","same here",485
"1724","some good",485
"1725","i work",484
"1726","just in",484
"1727","loved it",484
"1728","all in",483
"1729","and say",482
"1730","in touch",482
"1731","start a",482
"1732","that in",482
"1733","that song",482
"1734","cant stop",481
"1735","gave me",481
"1736","hope it",481
"1737","keep your",481
"1738","a full",480
"1739","a joke",480
"1740","dont see",480
"1741","goes to",480
"1742","i also",480
"1743","is here",480
"1744","long day",480
"1745","make your",480
"1746","people i",480
"1747","the shout",480
"1748","at school",479
"1749","im good",479
"1750","its only",479
"1751","keep the",479
"1752","meeting you",479
"1753","a nap",478
"1754","de mayo",478
"1755","doesnt mean",478
"1756","i try",478
"1757","it back",478
"1758","lets see",478
"1759","not so",478
"1760","the perfect",478
"1761","to hang",478
"1762","took a",478
"1763","about what",477
"1764","im thinking",477
"1765","not really",477
"1766","of school",477
"1767","too long",477
"1768","a second",476
"1769","cinco de",476
"1770","i put",476
"1771","it right",476
"1772","it should",476
"1773","but when",475
"1774","even more",474
"1775","i follow",474
"1776","just wanna",474
"1777","because im",473
"1778","does the",473
"1779","good i",473
"1780","just as",473
"1781","my son",473
"1782","off my",473
"1783","than you",473
"1784","a life",472
"1785","change the",472
"1786","lack of",472
"1787","thats my",472
"1788","one i",471
"1789","that just",471
"1790","see your",470
"1791","been in",469
"1792","on what",469
"1793","the ball",469
"1794","to his",469
"1795","a minute",468
"1796","be your",468
"1797","do they",468
"1798","love her",468
"1799","maybe i",468
"1800","the news",468
"1801","have more",467
"1802","help us",467
"1803","is being",467
"1804","it down",467
"1805","piece of",467
"1806","they should",467
"1807","a half",466
"1808","little bit",466
"1809","a lil",465
"1810","good idea",465
"1811","is making",465
"1812","one in",465
"1813","it can",464
"1814","tickets to",464
"1815","and still",463
"1816","i take",463
"1817","that has",463
"1818","and happy",462
"1819","as if",462
"1820","feel the",462
"1821","is our",462
"1822","put a",462
"1823","to lose",462
"1824","and on",461
"1825","fuck you",461
"1826","tell us",461
"1827","thought of",461
"1828","to miss",461
"1829","but now",460
"1830","me off",460
"1831","one to",460
"1832","or just",460
"1833","tonight and",460
"1834","hanging out",459
"1835","ive had",459
"1836","needs a",459
"1837","sort of",459
"1838","become a",458
"1839","bit of",458
"1840","i been",458
"1841","think so",458
"1842","ask me",457
"1843","on youtube",457
"1844","this friday",457
"1845","as soon",456
"1846","but dont",455
"1847","hours of",455
"1848","list of",455
"1849","they need",455
"1850","thing is",455
"1851","things i",455
"1852","in her",454
"1853","rt just",454
"1854","to feel",454
"1855","dont feel",453
"1856","how we",453
"1857","read it",453
"1858","agree with",452
"1859","here and",452
"1860","its on",452
"1861","love for",452
"1862","miss my",452
"1863","rt this",452
"1864","tonight i",452
"1865","this was",451
"1866","not as",450
"1867","not too",450
"1868","really dont",450
"1869","send you",450
"1870","is looking",449
"1871","love love",449
"1872","now to",449
"1873","the money",449
"1874","a follow",448
"1875","come true",448
"1876","if a",448
"1877","ill take",448
"1878","out this",448
"1879","plenty of",448
"1880","this world",448
"1881","anyone have",447
"1882","are now",447
"1883","gonna get",447
"1884","hell yeah",447
"1885","love them",447
"1886","she said",447
"1887","take me",447
"1888","a place",446
"1889","be one",446
"1890","hope u",446
"1891","so the",446
"1892","a hot",445
"1893","at that",445
"1894","itll be",445
"1895","not only",445
"1896","all those",444
"1897","coming back",444
"1898","i promise",444
"1899","the story",444
"1900","at night",443
"1901","fun to",443
"1902","my little",443
"1903","i meant",442
"1904","it off",442
"1905","me like",442
"1906","one that",442
"1907","say the",442
"1908","my love",441
"1909","proud to",441
"1910","the avengers",441
"1911","be fun",440
"1912","easy to",440
"1913","in person",440
"1914","just realized",440
"1915","to wait",440
"1916","be done",439
"1917","he doesnt",439
"1918","luck to",439
"1919","show at",439
"1920","so sorry",439
"1921","to one",439
"1922","hear it",438
"1923","if so",438
"1924","so so",438
"1925","god i",437
"1926","good times",437
"1927","still a",437
"1928","they want",437
"1929","do for",436
"1930","go see",436
"1931","it like",436
"1932","on top",436
"1933","see us",436
"1934","show on",436
"1935","that and",436
"1936","to save",436
"1937","a reason",435
"1938","a true",435
"1939","believe that",435
"1940","dont do",435
"1941","for making",435
"1942","i are",435
"1943","in class",435
"1944","not like",435
"1945","not my",435
"1946","on all",435
"1947","one for",435
"1948","she has",435
"1949","a small",434
"1950","because it",434
"1951","everyone else",434
"1952","good work",434
"1953","sitting in",434
"1954","so cool",434
"1955","there and",434
"1956","all good",433
"1957","give us",433
"1958","such an",433
"1959","to just",433
"1960","and take",432
"1961","getting my",432
"1962","how does",432
"1963","just not",432
"1964","so nice",432
"1965","start the",432
"1966","hear about",431
"1967","a perfect",430
"1968","any other",430
"1969","for new",430
"1970","heard of",430
"1971","just wanted",430
"1972","now you",430
"1973","tomorrow at",430
"1974","and when",429
"1975","food and",429
"1976","im back",429
"1977","loved the",429
"1978","so it",429
"1979","stay in",428
"1980","the kind",428
"1981","the state",428
"1982","a break",427
"1983","a party",427
"1984","as they",427
"1985","come up",427
"1986","great night",427
"1987","told you",427
"1988","have not",426
"1989","me about",426
"1990","along with",425
"1991","didnt even",425
"1992","over here",425
"1993","the face",425
"1994","a thing",424
"1995","are some",424
"1996","but this",424
"1997","hard work",424
"1998","if she",424
"1999","in vegas",424
"2000","are always",423
"2001","both of",423
"2002","im watching",423
"2003","my tweets",423
"2004","said that",423
"2005","i make",422
"2006","its good",422
"2007","of new",422
"2008","the little",422
"2009","tonight for",422
"2010","act like",421
"2011","be up",421
"2012","came to",421
"2013","hate the",421
"2014","new song",421
"2015","shoutout to",421
"2016","thing about",421
"2017","hear the",420
"2018","much love",420
"2019","they just",420
"2020","to add",420
"2021","and love",419
"2022","bring it",419
"2023","here to",419
"2024","more like",419
"2025","it if",418
"2026","now the",418
"2027","the nd",418
"2028","this shit",418
"2029","he did",417
"2030","im always",417
"2031","know of",417
"2032","sold out",417
"2033","that doesnt",417
"2034","amount of",416
"2035","email me",416
"2036","good at",416
"2037","music is",416
"2038","now we",416
"2039","pay for",416
"2040","the lakers",416
"2041","a kid",415
"2042","be doing",415
"2043","start to",415
"2044","a single",414
"2045","it im",414
"2046","person who",414
"2047","the nba",414
"2048","the twitter",414
"2049","get more",413
"2050","gonna go",413
"2051","i tried",413
"2052","is i",413
"2053","just cant",413
"2054","the party",413
"2055","a row",412
"2056","are too",412
"2057","but thats",412
"2058","is having",412
"2059","is right",412
"2060","its funny",412
"2061","and u",411
"2062","behind the",411
"2063","im here",411
"2064","in case",411
"2065","like they",411
"2066","meant to",411
"2067","to enjoy",411
"2068","another day",410
"2069","damn i",410
"2070","i took",410
"2071","im tired",410
"2072","a call",409
"2073","just so",409
"2074","so funny",409
"2075","to connect",409
"2076","a different",408
"2077","ability to",408
"2078","can tell",408
"2079","for everyone",408
"2080","to new",408
"2081","about our",407
"2082","keep you",407
"2083","life and",407
"2084","the girl",407
"2085","to kill",407
"2086","a night",406
"2087","but what",406
"2088","good stuff",406
"2089","the work",406
"2090","to those",406
"2091","hate you",405
"2092","know right",405
"2093","today with",405
"2094","god for",404
"2095","many of",404
"2096","this evening",404
"2097","are getting",403
